pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|nerve|NCAM1|ROBO1,True,True,0.8825108,0.886445
immune|nerve|NELL2|ROBO3,True,True,0.6443418,0.5457001
immune|nerve|NUCB2|ERAP1,True,True,0.55805737,0.774137
immune|nerve|PDGFB|ADGRV1,True,True,0.7512057,0.8066668
immune|nerve|PDGFB|ITGAV,True,True,0.76962215,0.8198811
immune|nerve|PDGFB|LRP1,True,True,0.7282387,0.80361587
immune|nerve|PDGFC|PDGFRA,True,True,0.81410193,0.6976495
immune|nerve|PKM|CD44,True,True,0.85989606,0.8973771
immune|nerve|PLAU|IGF2R,True,True,0.73593533,0.76479393
immune|nerve|PLAU|ITGA3,True,True,0.69557875,0.6829543
immune|nerve|PLAU|ITGA5,True,True,0.6435615,0.662531
immune|nerve|PLAU|ITGB1,True,True,0.7327498,0.83184963
immune|nerve|PLAU|ITGB5,True,True,0.63632894,0.63229954
immune|nerve|PLAU|LRP1,True,True,0.77441245,0.79281765
immune|nerve|PLAU|LRP2,True,True,0.80104506,0.8559896
immune|nerve|PLAU|VLDLR,True,True,0.64737713,0.7330541
immune|nerve|PLTP|ABCA1,True,True,0.82359564,0.9122062
immune|nerve|PROS1|TYRO3,True,True,0.6932098,0.7389858
immune|nerve|PSAP|AR,True,True,0.8311033,0.8808284
immune|nerve|PSAP|GPR37,True,True,0.84481394,0.9500351
immune|nerve|PSAP|LRP1,True,True,0.8687064,0.9211077
immune|nerve|PSAP|SORT1,True,True,0.90386766,0.952767
immune|nerve|PSEN1|NOTCH1,True,True,0.8234778,0.7218532
immune|nerve|PSEN1|NOTCH2,True,True,0.78300315,0.6939889
immune|nerve|PTDSS1|JMJD6,True,True,0.54375464,0.6483028
immune|nerve|PTDSS1|SCARB1,True,True,0.67834896,0.7406392
immune|nerve|PTPN6|EGFR,True,True,0.8037445,0.81090117
immune|nerve|RPS19|C5AR1,True,True,0.83804506,0.8743961
immune|nerve|RTN4|CNTNAP1,True,True,0.8076085,0.7947284
immune|nerve|RTN4|LINGO1,True,True,0.85361505,0.8767716
immune|nerve|RTN4|RTN4RL1,True,True,0.8546645,0.8100104
immune|nerve|RTN4|TNFRSF19,True,True,0.83547735,0.85407734
immune|nerve|S100A10|CFTR,True,True,0.66110116,0.89415777
immune|nerve|S100A4|EGFR,True,True,0.8955844,0.9071942
immune|nerve|S100A4|ERBB3,True,True,0.83866894,0.9370347
immune|nerve|SDC2|PTPRJ,True,True,0.8293525,0.8622977
immune|nerve|SEMA3C|NRP2_PLXNA3,True,True,0.6519477,0.53480804
immune|nerve|SEMA4D|MET,True,True,0.7761056,0.83243775
immune|nerve|SEMA4D|PLXNB1,True,True,0.79264593,0.8335776
immune|nerve|SEMA4D|PLXNB2,True,True,0.7428926,0.7516659
immune|nerve|SERPINA1|LRP1,True,True,0.73512983,0.90278184
immune|nerve|SERPINE1|ITGB5,True,True,0.61820966,0.6921984
immune|nerve|SERPINE1|LRP1,True,True,0.7605845,0.8334553
immune|nerve|SERPINE1|LRP2,True,True,0.7884035,0.88601786
immune|nerve|SERPING1|LRP1,True,True,0.68165207,0.7819595
immune|nerve|SIRPA|CD47,True,True,0.7988941,0.8911561
immune|nerve|SIRPB2|CD47,True,True,0.7341649,0.789558
immune|nerve|SPON2|ITGA5,True,True,0.59188014,0.75638413
immune|nerve|SPON2|ITGB1,True,True,0.68772537,0.88666874
immune|nerve|SPP1|CD44,True,True,0.90541667,0.9338711
immune|nerve|SPP1|ITGA5_ITGB1,True,True,0.79947495,0.8819722
immune|nerve|SPP1|ITGA8_ITGB1,True,True,0.8271023,0.89625996
immune|nerve|SPP1|ITGA9_ITGB1,True,True,0.8371663,0.91216415
immune|nerve|SPP1|ITGAV_ITGB1,True,True,0.85824376,0.94000715
immune|nerve|SPP1|ITGAV_ITGB5,True,True,0.7943954,0.86746645
immune|nerve|SPTAN1|PTPRA,True,True,0.8448941,0.876062
immune|nerve|ST6GAL1|CD22,True,True,0.8899149,0.8883582
immune|nerve|ST6GAL1|EGFR,True,True,0.9262786,0.8306632
immune|nerve|TGFB1|ACVR1_TGFBR1_TGFBR2,True,True,0.67133003,0.7559684
immune|nerve|TGFB1|ACVR1_TGFBR2,True,True,0.67208964,0.7559684
immune|nerve|TGFB1|CAV1,True,True,0.7287629,0.88624364
immune|nerve|TGFB1|EGFR,True,True,0.8708676,0.8605679
immune|nerve|TGFB1|ITGB1,True,True,0.7617139,0.90861243
immune|nerve|TGFB1|ITGB5,True,True,0.67105174,0.77558327
immune|nerve|TGFB1|ITGB8,True,True,0.8418179,0.9002815
immune|nerve|TGFB1|LPP,True,True,0.8647257,0.9153399
immune|nerve|TGFB1|SDC2,True,True,0.7058415,0.7864895
immune|nerve|TGFB1|TGFBR1_TGFBR2,True,True,0.67133003,0.8251799
immune|nerve|TGFB1|TGFBR3,True,True,0.7126764,0.8257891
immune|nerve|TGS1|RXRA,True,True,0.6105186,0.5895506
immune|nerve|TIMP1|CD63,True,True,0.8154828,0.9616973
immune|nerve|TIMP1|FGFR2,True,True,0.8338048,0.95546097
