source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_compartment,target_compartment,compartment_pair,direction,nerve_cluster,immune_subtype,nerve_dominant_sample_fraction,nerve_n_contributing_samples,nerve_normalised_entropy,nerve_batch_qc_pass,immune_dominant_sample_fraction,immune_n_contributing_samples,immune_normalised_entropy,immune_batch_qc_pass,batch_qc_pass
nerve_c6,immune_dendritic,CD14,RIPK1,0.10845947,1.0,0.011590488,-0.3802428556541654,-1.2835227994509435,0.0087041715,0.4965003,1.0,0.0331133289367547,nerve,immune,immune-nerve,nerve_to_immune,nerve_c6,dendritic,0.2036,24.0,0.6567,True,0.1168,23.0,0.7139,True,True
nerve_c12,immune_nk_cell,PTN,NCL,1.3683835,0.0,1.863966,0.4175370013957423,0.2020753040392712,0.010906535,0.9259541,0.3701767584502636,0.0331750904483193,nerve,immune,immune-nerve,nerve_to_immune,nerve_c12,nk_cell,0.4368,7.0,0.335,True,0.1807,21.0,0.6809,True,True
nerve_c9,immune_nk_cell,CALM1,PTPRA,1.6227775,0.0,1.235725,0.5998871569147687,0.6446304737144177,0.016653905,0.91057,0.0840273609830567,0.0332225483280598,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,nk_cell,0.4802,7.0,0.3212,True,0.1807,21.0,0.6809,True,True
nerve_c15,immune_t_cell,MIF,CD74_CXCR4,1.3681747,1.0,1.3785797,-0.1713034774745837,-1.2072757546855053,0.0051226974,0.91492534,1.0,0.0332462855042197,nerve,immune,immune-nerve,nerve_to_immune,nerve_c15,t_cell,0.2441,11.0,0.4778,True,0.114,24.0,0.7175,True,True
nerve_c15,immune_t_cell,PTN,NCL,1.3680035,0.0,1.7812496,0.3759889631571805,0.1655591063834881,0.01042254,0.92438287,0.4243094483395868,0.0332937880341954,nerve,immune,immune-nerve,nerve_to_immune,nerve_c15,t_cell,0.2441,11.0,0.4778,True,0.114,24.0,0.7175,True,True
nerve_c9,immune_microglia,CD14,RIPK1,0.10981734,1.0,0.011600863,-0.3464851883525149,-1.3003388598534975,0.008711962,0.49661216,1.0,0.0333157214288517,nerve,immune,immune-nerve,nerve_to_immune,nerve_c9,microglia,0.4802,7.0,0.3212,True,0.0584,28.0,0.8514,True,True
nerve_c5,immune_tam,PKM,CD44,1.3673751,0.0,1.5817108,0.564794438418367,0.4767670846080494,0.01717783,0.9201245,0.0744275267979571,0.0333651044653439,nerve,immune,immune-nerve,nerve_to_immune,nerve_c5,tam,0.5076,15.0,0.4523,False,0.221,21.0,0.6495,True,False
nerve_c6,immune_dendritic,LGALS1,PTPRC,1.3673428,0.0,1.8694931,0.198817264370436,-0.0805622064925948,0.016916396,0.92605555,0.7983179001191744,0.0334126878994685,nerve,immune,immune-nerve,nerve_to_immune,nerve_c6,dendritic,0.2036,24.0,0.6567,True,0.1168,23.0,0.7139,True,True
nerve_c3,immune_nk_cell,CD22,PTPRC,1.3671902,0.0,1.50469,2.081572937272541,1.3626748882219322,0.020806195,0.9182707,0.0584463858624115,0.0334364937073684,nerve,immune,immune-nerve,nerve_to_immune,nerve_c3,nk_cell,0.1893,16.0,0.5434,True,0.1807,21.0,0.6809,True,True
nerve_c12,immune_dendritic,HMGB1,CXCR4,1.3671675,0.0,1.7055663,0.0665659789570107,-0.0625633669067595,0.006661672,0.9228514,1.0,0.0334841256744672,nerve,immune,immune-nerve,nerve_to_immune,nerve_c12,dendritic,0.4368,7.0,0.335,True,0.1168,23.0,0.7139,True,True
