source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,direction,nerve_cluster,dominant_sample_fraction,n_contributing_samples,normalised_entropy,batch_qc_pass
nerve_c18,malignant,NCAM1,PTPRZ1,1.6233152,1.0,1.7904205,-0.1612067087753062,0.6643945744943431,0.021762047,0.9142437,1.0,0.0034711396968088,nerve_to_malignant,nerve_c18,0.5575,4,0.2111,False
nerve_c9,malignant,GSTP1,EGFR,1.5971308,0.0,2.5426924,0.3457824186184218,1.986467890639902,0.081217885,0.9270325,0.0308321199518736,0.0035332583076177,nerve_to_malignant,nerve_c9,0.4802,7,0.3212,True
nerve_c16,malignant,NCAM1,PTPRZ1,1.6166065,1.0,1.7563076,-0.1675598779601675,0.6139605472724418,0.021347415,0.9134866,1.0,0.00359592021225,nerve_to_malignant,nerve_c16,0.2917,16,0.4833,True
malignant,nerve_c3,PTN,PTPRS,1.5922132,0.0,1.9171002,0.21425436132066,1.0564974663297906,0.06947773,0.916886,0.1072408253332044,0.0036909313061676,malignant_to_nerve,nerve_c3,0.1893,16,0.5434,True
nerve_c6,malignant,PSAP,LRP1,1.6550115,0.0,1.7482022,0.9804927737353788,1.6134694208927662,0.085325666,0.9133036,0.0296227648967986,0.0037549505674588,nerve_to_malignant,nerve_c6,0.2036,24,0.6567,True
malignant,nerve_c9,NCAM1,FGFR2,1.5871294,0.0,2.2979066,1.416863251116942,0.8285501291722199,0.083250515,0.92353404,0.0296227648967986,0.0038195124202536,malignant_to_nerve,nerve_c9,0.4802,7,0.3212,True
malignant,nerve_neuron,PTN,PTPRS,1.5849507,0.0,1.882554,0.2055703036881916,1.0773853053394564,0.06822574,0.91619045,0.1220494755141603,0.00395026240522,malignant_to_nerve,nerve_neuron,0.5032,7,0.4667,False
nerve_c4,malignant,EDIL3,ITGAV,1.7606777,0.0,1.731701,1.671984261834844,1.6711590114232282,0.07773235,0.91292745,0.0093786422681194,0.0039832888778898,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
nerve_c12,malignant,NCAM1,PTPRA,1.5814544,0.0,1.8794369,0.553431992740023,0.7761443555898636,0.07323355,0.9161268,0.0764700385664068,0.0039832888778898,nerve_to_malignant,nerve_c12,0.4368,7,0.335,True
nerve_c4,malignant,LRPAP1,LRP8,0.09229893,1.0,0.008404599,-0.2905874402496864,-0.3382535658060727,0.013441009,0.42210802,1.0,0.0039875935031074,nerve_to_malignant,nerve_c4,0.1779,16,0.5438,True
nerve_c6,malignant,GSTP1,EGFR,1.5759244,0.0,2.4787788,0.3251271788029933,2.066500873499336,0.07917638,0.9261668,0.0389459421155714,0.0040164508228562,nerve_to_malignant,nerve_c6,0.2036,24,0.6567,True
