pair_key,in_reference,in_dataset,reference_magnitude,dataset_magnitude
immune|nerve|TIMP1|CD63,True,True,0.8154828,0.96424395
immune|nerve|TIMP1|FGFR2,True,True,0.8338048,0.9576792
immune|nerve|TIMP2|CD44,True,True,0.8558946,0.87175846
immune|nerve|TIMP2|ITGB1,True,True,0.789758,0.8863578
immune|nerve|TLN1|ITGB5,True,True,0.6263498,0.7560551
immune|nerve|TNFSF10|RIPK1,True,True,0.63225865,0.7725474
immune|nerve|TNFSF10|TNFRSF10B,True,True,0.6549311,0.6709867
immune|nerve|VCAN|CD44,True,True,0.8771395,0.92879707
immune|nerve|VCAN|EGFR,True,True,0.904998,0.9199079
immune|nerve|VCAN|ITGB1,True,True,0.8186877,0.93736947
immune|nerve|VCL|ALK,True,True,0.73179686,0.60192513
immune|nerve|VEGFA|CD44,True,True,0.8811122,0.89195395
immune|nerve|VEGFA|EGFR,True,True,0.90816426,0.8790642
immune|nerve|VEGFA|EPHB2,True,True,0.86150664,0.891577
immune|nerve|VEGFA|GPC1,True,True,0.79249847,0.81725484
immune|nerve|VEGFA|GRIN2B,True,True,0.9016111,0.80323404
immune|nerve|VEGFA|ITGAV,True,True,0.87975603,0.8984036
immune|nerve|VEGFA|ITGB1,True,True,0.82417154,0.904506
immune|nerve|VEGFA|NRP2,True,True,0.85861784,0.88164485
immune|nerve|VEGFA|SIRPA,True,True,0.81536764,0.8417792
immune|nerve|VEGFA|TYRO3,True,True,0.8267141,0.8992678
immune|nerve|VIM|CD44,True,True,0.87755,0.9349874
immune|nerve|WNT5A|ANTXR1,True,True,0.7450411,0.70064205
immune|nerve|WNT5A|FZD3,True,True,0.75414866,0.66641396
immune|nerve|WNT5A|FZD6,True,True,0.70428437,0.59548795
immune|nerve|WNT5A|LDLR,True,True,0.62578607,0.626061
immune|nerve|WNT5A|LRP2,True,True,0.7698168,0.83641833
immune|nerve|WNT5A|LRP5,True,True,0.64588475,0.6499584
immune|nerve|WNT5A|LRP6,True,True,0.76838547,0.82253945
immune|nerve|WNT5A|MCAM,True,True,0.60119873,0.75089264
immune|nerve|WNT5A|PTK7,True,True,0.6242842,0.6014259
immune|nerve|WNT5A|PTPRK,True,True,0.8311228,0.8792958
immune|nerve|WNT5A|ROR1,True,True,0.6802371,0.7293154
immune|nerve|WNT5A|RYK,True,True,0.702641,0.7400818
immune|nerve|YBX1|NOTCH1,True,True,0.7536971,0.8610293
immune|tumor|A2M|LRP1,True,True,0.8484006,0.8977424
immune|tumor|ADAM10|CADM1,True,True,0.8764299,0.8653739
immune|tumor|ADAM10|CD44,True,True,0.8193032,0.83590806
immune|tumor|ADAM10|NOTCH1,True,True,0.7413589,0.7826923
immune|tumor|ADAM10|NOTCH2,True,True,0.76931244,0.76689756
immune|tumor|ADAM10|NRCAM,True,True,0.89149565,0.8841364
immune|tumor|ADAM10|TSPAN5,True,True,0.8374821,0.82498384
immune|tumor|ADAM17|ERBB4,True,True,0.85238796,0.8211427
immune|tumor|ADAM17|NOTCH1,True,True,0.72724104,0.7730805
immune|tumor|ADAM9|ITGA3,True,True,0.7339049,0.70051646
immune|tumor|ADAM9|ITGA6,True,True,0.6660604,0.69657135
immune|tumor|ADAM9|ITGAV,True,True,0.83335716,0.8303106
immune|tumor|ADM|ADCYAP1R1,True,True,0.55215126,0.6784045
immune|tumor|ADM|CALCRL,True,True,0.6753889,0.7308264
immune|tumor|ADM|RAMP1,True,True,0.68774974,0.8502654
immune|tumor|ALCAM|CHL1,True,True,0.87674075,0.8520727
immune|tumor|ANGPTL4|CDH11,True,True,0.66540396,0.7282538
immune|tumor|ANGPTL4|SDC2,True,True,0.5359523,0.6609755
immune|tumor|ANGPTL4|SDC3,True,True,0.6003414,0.75498414
immune|tumor|ANOS1|FGFR1,True,True,0.7687734,0.71272075
immune|tumor|ANOS1|SDC2,True,True,0.6874392,0.6312443
immune|tumor|ANXA1|EGFR,True,True,0.8689606,0.9369209
immune|tumor|APOE|ABCA1,True,True,0.8588417,0.928382
immune|tumor|APOE|LRP1,True,True,0.8682049,0.9358934
immune|tumor|APOE|LRP4,True,True,0.7909784,0.90771997
immune|tumor|APOE|LRP5,True,True,0.7451994,0.85370225
immune|tumor|APOE|LRP6,True,True,0.8499048,0.9142424
immune|tumor|APOE|LRP8,True,True,0.75429,0.8522685
immune|tumor|APOE|SCARB1,True,True,0.7567351,0.8751833
immune|tumor|APOE|SDC2,True,True,0.7536121,0.8811971
immune|tumor|APOE|SORL1,True,True,0.83951914,0.9018376
immune|tumor|ARF1|INSR,True,True,0.6817625,0.82513535
immune|tumor|ARF6|SMAP1,True,True,0.6127862,0.84245336
immune|tumor|BSG|SLC16A1,True,True,0.53712034,0.81684303
immune|tumor|C1QB|LRP1,True,True,0.80048275,0.928699
immune|tumor|C3|CD46,True,True,0.80868775,0.865775
immune|tumor|C3|CD81,True,True,0.796777,0.9166362
immune|tumor|C3|LRP1,True,True,0.87241346,0.90895003
immune|tumor|C3|NRP1,True,True,0.8225935,0.8443994
immune|tumor|CALM1|ADCYAP1R1,True,True,0.66368526,0.8108129
immune|tumor|CALM1|CACNA1C,True,True,0.8349913,0.8608982
immune|tumor|CALM1|INSR,True,True,0.79653937,0.8744013
immune|tumor|CALM1|PDE1C,True,True,0.825686,0.86416477
immune|tumor|CALM1|PTPRA,True,True,0.8437977,0.9218081
immune|tumor|CALM3|AR,True,True,0.6033425,0.75278556
immune|tumor|CALM3|CACNA1C,True,True,0.68470937,0.78550893
immune|tumor|CALM3|EGFR,True,True,0.77264285,0.90580285
immune|tumor|CALM3|INSR,True,True,0.62688595,0.80466986
immune|tumor|CALM3|PDE1C,True,True,0.67027575,0.7901142
immune|tumor|CALR|ITGA3,True,True,0.6378168,0.7811961
immune|tumor|CALR|ITGAV,True,True,0.7615116,0.88191825
immune|tumor|CALR|LRP1,True,True,0.76318043,0.8875219
immune|tumor|CD14|ITGB1,True,True,0.7330704,0.8898243
immune|tumor|CD14|RIPK1,True,True,0.69638205,0.8166358
immune|tumor|CD47|SIRPA,True,True,0.6724674,0.73163587
immune|tumor|CD55|ADGRE5,True,True,0.5504829,0.77128655
immune|tumor|CD99|CD81,True,True,0.70726025,0.9069137
immune|tumor|CD99|CD99L2,True,True,0.7098086,0.80851597
immune|tumor|CXCL8|SDC2,True,True,0.66753685,0.8380328
immune|tumor|CXCL8|SDC3,True,True,0.7231007,0.8910385
immune|tumor|ENTPD1|ADORA1,True,True,0.7185127,0.69825786
immune|tumor|FAM3C|LIFR,True,True,0.70211655,0.76497996
immune|tumor|FARP2|PLXNA1,True,True,0.60687757,0.51712346
immune|tumor|FN1|CD44,True,True,0.7692236,0.8563876
immune|tumor|FN1|ITGA2,True,True,0.7403683,0.73516774
immune|tumor|FN1|ITGA3_ITGB1,True,True,0.67916423,0.74493676
immune|tumor|FN1|ITGA6,True,True,0.60487694,0.7413608
immune|tumor|FN1|ITGAV_ITGB1,True,True,0.7156486,0.83565766
immune|tumor|FN1|ITGAV_ITGB8,True,True,0.79331386,0.8593449
immune|tumor|FN1|NT5E,True,True,0.58436793,0.7284992
immune|tumor|FN1|SDC2,True,True,0.64268124,0.76632446
immune|tumor|GAS6|TYRO3,True,True,0.55083764,0.6854558
immune|tumor|GNAI2|ADCY1,True,True,0.67070484,0.80119914
immune|tumor|GNAI2|ADCY9,True,True,0.7265589,0.8227417
immune|tumor|GNAI2|ADORA1,True,True,0.60962135,0.79227805
immune|tumor|GNAI2|CAV1,True,True,0.5459954,0.85499674
immune|tumor|GNAI2|CNR1,True,True,0.71052855,0.84427685
immune|tumor|GNAI2|EDNRB,True,True,0.6091086,0.84341806
immune|tumor|GNAI2|EGFR,True,True,0.83818096,0.9308902
immune|tumor|GNAI2|F2R,True,True,0.5630823,0.8028663
immune|tumor|GNAI2|IGF1R,True,True,0.77222633,0.8657298
immune|tumor|GNAS|ADCY1,True,True,0.75236183,0.7935747
immune|tumor|GNAS|ADCY9,True,True,0.7985261,0.81575346
